,UserID,ItemID,Ratings,Timestamp
0,905.0,470.0,1.0,889325071.0
1,697.0,1518.0,5.0,879835275.0
2,855.0,1687.0,5.0,875638677.0
3,950.0,1447.0,5.0,877420720.0
4,806.0,1170.0,4.0,879889337.0
5,855.0,1699.0,3.0,882549566.0
6,778.0,1543.0,4.0,878550146.0
7,993.0,1512.0,5.0,891720948.0
8,891.0,1600.0,4.0,880931250.0
9,910.0,1069.0,5.0,891752740.0
10,993.0,1622.0,3.0,891722335.0
11,819.0,376.0,1.0,879330634.0
12,799.0,1368.0,2.0,884479057.0
13,987.0,1015.0,5.0,882765752.0
14,918.0,1627.0,4.0,879138058.0
15,733.0,1277.0,3.0,879341012.0
16,806.0,494.0,1.0,879922623.0
17,731.0,1594.0,1.0,891820117.0
18,901.0,805.0,3.0,886046474.0
19,765.0,551.0,4.0,890023765.0
20,800.0,1035.0,4.0,884498791.0
21,688.0,1512.0,3.0,892066963.0
22,855.0,1650.0,5.0,885925830.0
23,766.0,1629.0,3.0,892702508.0
24,787.0,1652.0,5.0,879324018.0
25,756.0,1484.0,4.0,880974039.0
26,684.0,1112.0,1.0,881222162.0
27,915.0,1525.0,4.0,880197082.0
28,876.0,1650.0,3.0,890655678.0
29,863.0,1463.0,4.0,881801135.0
30,987.0,1133.0,1.0,882765125.0
31,849.0,1538.0,5.0,879896949.0
32,813.0,1584.0,5.0,879833148.0
33,807.0,1146.0,3.0,889494258.0
34,951.0,959.0,4.0,888436249.0
35,709.0,1646.0,4.0,875203133.0
36,684.0,1408.0,4.0,881221242.0
37,729.0,1186.0,4.0,886216578.0
38,806.0,1296.0,3.0,879890615.0
39,732.0,979.0,3.0,876111757.0
40,723.0,503.0,4.0,879911938.0
41,699.0,1094.0,3.0,882445060.0
42,911.0,652.0,3.0,879828197.0
43,747.0,1650.0,4.0,891996688.0
44,898.0,968.0,3.0,889172259.0
45,689.0,1038.0,4.0,884733188.0
46,799.0,757.0,3.0,884482445.0
47,754.0,884.0,4.0,885293388.0
48,828.0,1212.0,3.0,875906135.0
49,720.0,1662.0,3.0,892070002.0
50,957.0,643.0,2.0,884397947.0
51,689.0,1039.0,3.0,884733245.0
52,941.0,1413.0,5.0,888571345.0
53,732.0,1617.0,4.0,875677514.0
54,685.0,1049.0,3.0,880167627.0
55,855.0,1401.0,4.0,875637992.0
56,752.0,1526.0,3.0,884903162.0
57,673.0,1509.0,4.0,888188998.0
58,732.0,1028.0,2.0,876112671.0
59,703.0,1414.0,5.0,875322062.0
60,705.0,1549.0,4.0,879885805.0
61,987.0,823.0,2.0,882508962.0
62,930.0,1116.0,3.0,884518406.0
63,855.0,1240.0,1.0,875639482.0
64,725.0,1524.0,4.0,880682490.0
65,952.0,1441.0,4.0,879802440.0
66,765.0,1281.0,5.0,890024028.0
67,917.0,1287.0,1.0,891550549.0
68,853.0,1442.0,4.0,885962210.0
69,908.0,1179.0,4.0,876181582.0
70,754.0,972.0,1.0,885291999.0
71,957.0,1416.0,5.0,884323611.0
72,793.0,1497.0,3.0,877492795.0
73,766.0,1215.0,3.0,892447604.0
74,799.0,1113.0,4.0,884509145.0
75,714.0,1011.0,5.0,884951719.0
76,931.0,1688.0,5.0,882513737.0
77,763.0,1206.0,4.0,879744723.0
78,915.0,1567.0,4.0,879822046.0
79,724.0,1615.0,3.0,875160041.0
80,689.0,1334.0,5.0,884734180.0
81,680.0,1301.0,3.0,885117581.0
82,886.0,1525.0,5.0,881628125.0
83,958.0,1579.0,4.0,881478748.0
84,993.0,1020.0,4.0,891718873.0
85,846.0,1398.0,4.0,879506405.0
86,894.0,1040.0,4.0,881819801.0
87,687.0,1629.0,4.0,891398314.0
88,910.0,1174.0,5.0,891752036.0
89,906.0,1514.0,4.0,892090448.0
90,776.0,1657.0,3.0,888472626.0
91,956.0,1470.0,2.0,883981505.0
92,771.0,1385.0,1.0,892001115.0
93,849.0,1220.0,5.0,879892321.0
94,689.0,1195.0,4.0,884733621.0
95,680.0,1498.0,4.0,885119116.0
96,887.0,1371.0,3.0,876303482.0
97,745.0,841.0,3.0,883584918.0
98,807.0,873.0,2.0,891228086.0
99,724.0,911.0,3.0,875159793.0
100,741.0,950.0,4.0,888998594.0
101,796.0,1528.0,3.0,892881989.0
102,922.0,1288.0,4.0,880002393.0
103,915.0,1602.0,4.0,879821886.0
104,721.0,1307.0,1.0,875682263.0
105,778.0,1377.0,3.0,877931009.0
106,712.0,1573.0,5.0,886742621.0
107,958.0,1094.0,3.0,881475708.0
108,975.0,971.0,4.0,886220867.0
109,881.0,1487.0,5.0,875149427.0
110,884.0,1515.0,3.0,876821689.0
111,877.0,1687.0,3.0,880242158.0
112,685.0,1043.0,4.0,880189469.0
113,858.0,1457.0,1.0,889008369.0
114,987.0,1220.0,3.0,881883363.0
115,799.0,1374.0,2.0,884479265.0
116,957.0,1069.0,2.0,884323845.0
117,805.0,1313.0,4.0,892130661.0
118,905.0,1526.0,5.0,879564401.0
